window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2233,1778079180,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000569,0.0071,28546.50,28534.50,28542.25,1172,False
2234,1778079240,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000536,0.0063,28545.25,28536.50,28539.50,709,False
2235,1778079300,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000513,0.0066,28547.50,28538.75,28547.25,877,False
2236,1778079360,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000509,0.0059,28550.75,28532.00,28538.75,1177,False
2237,1778079420,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000477,0.0050,28541.00,28530.25,28535.50,583,False
2238,1778079480,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000463,0.0033,28538.00,28525.25,28527.00,929,False
2239,1778079540,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000449,0.0025,28538.75,28524.25,28537.25,1214,False
2240,1778079600,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000450,0.0017,28545.25,28534.00,28541.00,1364,True
2241,1778079660,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000446,0.0018,28552.00,28538.25,28549.50,1420,False
2242,1778079720,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000451,0.0017,28549.50,28536.50,28538.75,647,True
2243,1778079780,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000447,0.0022,28545.00,28531.00,28540.50,925,False
2244,1778079840,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000448,0.0026,28550.25,28537.75,28550.00,750,False
2245,1778079900,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000440,0.0027,28552.75,28543.50,28547.00,665,False
2246,1778079960,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000421,0.0024,28555.00,28546.75,28552.75,738,False
2247,1778080020,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000417,0.0030,28558.25,28548.00,28552.25,933,False
2248,1778080080,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000435,0.0028,28555.50,28539.25,28542.50,1021,False
2249,1778080200,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000432,0.0024,28549.75,28544.75,28547.00,296,False
2250,1778080260,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000406,0.0023,28553.00,28544.50,28550.00,657,False
2251,1778080320,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000423,0.0010,28550.00,28532.50,28534.00,1031,True
2252,1778080380,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000399,0.0002,28535.50,28532.25,28535.00,119,False
2253,1778080440,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000415,0.0006,28538.75,28518.00,28536.50,2473,False
2254,1778080500,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000427,0.0009,28548.50,28532.25,28543.25,955,False
2255,1778080560,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000436,0.0007,28556.00,28538.75,28554.75,849,False
2256,1778080620,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000439,0.0011,28567.50,28553.00,28567.00,1443,False
2257,1778080680,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000430,0.0029,28573.00,28562.75,28568.50,1027,False
