alert_id,symbol,direction,entry,exit,outcome,mfe,mae,r,regime,risk_score,phase2_action
REPLAY_000336,ESM6.CME@RITHMIC,SHORT,7308.25,7308.25,NO_EXIT,-1.5,1.75,0.0,BALANCE,0.4749984225683879,HOLD
REPLAY_000337,ESM6.CME@RITHMIC,LONG,7307.5,7307.5,NO_EXIT,2.25,-1.0,0.0,BALANCE,0.6273931813636028,HOLD
REPLAY_000338,NQM6.CME@RITHMIC,SHORT,28319.5,28323.5,STOP,-4.25,1.0,-1.0,BALANCE,0.5655163254095977,HOLD
REPLAY_000339,NQM6.CME@RITHMIC,SHORT,28325.25,28329.25,STOP,-4.0,1.5,-1.0,BALANCE,0.5344787532711781,HOLD
REPLAY_000340,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-0.75,2.5,0.0,BALANCE,0.8254085452503543,HOLD
REPLAY_000341,ESM6.CME@RITHMIC,LONG,7309.25,7309.25,NO_EXIT,0.25,-2.75,0.0,BALANCE,0.2744907202430704,HOLD
REPLAY_000342,NQM6.CME@RITHMIC,SHORT,28328.5,28332.5,STOP,-4.0,0.25,-1.0,BALANCE,0.3924401191052675,HOLD
REPLAY_000343,NQM6.CME@RITHMIC,SHORT,28327.25,28321.25,TARGET1,-2.25,6.25,1.5,BALANCE,0.7319926826669477,HOLD
REPLAY_000344,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-2.75,2.5,0.0,BALANCE,0.6439013239811198,HOLD
REPLAY_000345,ESM6.CME@RITHMIC,LONG,7308.5,7308.5,NO_EXIT,3.25,-2.0,0.0,BALANCE,0.34902937039665993,HOLD
REPLAY_000346,ESM6.CME@RITHMIC,LONG,7307.5,7307.5,NO_EXIT,4.25,-1.0,0.0,BALANCE,0.8055240621435978,HOLD
REPLAY_000347,ESM6.CME@RITHMIC,LONG,7306.75,7306.75,NO_EXIT,5.0,0.0,0.0,BALANCE,0.7408083072922473,HOLD
REPLAY_000348,ESM6.CME@RITHMIC,LONG,7307.5,7307.5,NO_EXIT,4.25,-0.25,0.0,BALANCE,0.662828504113778,HOLD
REPLAY_000349,ESM6.CME@RITHMIC,LONG,7308.0,7308.0,NO_EXIT,3.75,-0.75,0.0,BALANCE,0.7614875384959706,HOLD
REPLAY_000350,ESM6.CME@RITHMIC,LONG,7309.0,7309.0,NO_EXIT,2.75,-1.75,0.0,BALANCE,0.5547289346992839,HOLD
